actionsN_moveN,to-plc-obj
describeN_appearanceN,obj-agt
describeN_feelingsN,obj-mod
describeN_shapesN,obj
describeN_stateN,obj-agt
food_and_drinkN_breakfastN,obj-agt
food_and_drinkN_condimentsN,obj-agt
food_and_drinkN_drinkN,obj-agt
food_and_drinkN_fruitsN,obj-agt
food_and_drinkN_mealN,obj-agt
food_and_drinkN_meatN,obj-agt
food_and_drinkN_snacksN,obj-agt
food_and_drinkN_sweets__dessertN,obj-agt
food_and_drinkN_vegetables__groceriesN,obj-agt
fun_and_gamesN_commonN,obj-agt
fun_and_gamesN_fun_and_entertainmentN,obj-agt
fun_and_gamesN_fun_and_entertainment__showN,obj-agt
fun_and_gamesN_fun_and_entertainment__peopleN,agt-obj
fun_and_gamesN_fun_and_entertainment__thingN,obj-agt
fun_and_gamesN_gamesN,obj-agt
fun_and_gamesN_sportsN,obj-agt
fun_and_gamesN_toysN,obj-agt
natureN_animal_placesN,plc-agt-obj
natureN_animalsN,agt-obj
natureN_astronomical_bodiesN,obj-agt
natureN_commonN,obj-agt
natureN_elementsN,obj-agt
natureN_eventsN,obj-agt
natureN_flowerN,obj-agt
natureN_insect__birdN,agt-obj
natureN_landformsN,plc-to-agt-obj
natureN_parts_of_plantN,obj-agt
natureN_plantsN,obj-agt
natureN_weatherN,agt-obj
peopleN_charactersN,agt-obj
peopleN_namesN,agt-obj
peopleN_commonN,agt-obj
peopleN_common_femaleN,agt-obj
peopleN_common_maleN,agt-obj
peopleN_groupN,agt-obj
peopleN_professionN,agt-obj
peopleN_pronounN,agt-obj
peopleN_relationsN,agt-obj
placesN_commonN,plc-to-agt-obj
placesN_countries__continentsN,plc-to-agt-obj
placesN_fun__entertainmentN,to-plc
placesN_house_placesN,to-plc-agt
placesN_places_to_eatN,plc-to-agt-obj
placesN_positionN,to-plc
placesN_public_placesN,to-plc-agt-obj
placesN_school_placesN,plc-to-agt-obj
placesN_states__citiesN,plc-to-agt-obj
quantityN_commonN,obj-agt
quantityN_numbersN,qua
thingsN_arts__craftN,obj-agt
thingsN_body_partsN,agt-obj
thingsN_commonN,obj-agt
thingsN_getting_dressedN,obj-agt
thingsN_health_relatedN,obj-agt
thingsN_home__furnitureN,obj-agt
thingsN_moneyN,obj-agt
thingsN_musical_instrumentN,obj-agt
thingsN_pronounN,obj-agt
thingsN_reading_thingsN,obj-agt
thingsN_reading_things__communicationN,obj-agt
thingsN_school_relatedN,obj-agt
thingsN_technologyN,obj-agt
thingsN_tools__appliancesN,obj-agt
thingsN_travel__transportN,obj-agt
thingsN_travel_thingsN,obj-agt
thingsN_utensilsN,ins-obj-agt
thingsN_vegetables__groceriesN,obj-agt
thingsN_wearablesN,obj-agt
time__eventsN_commonN,tim
time__eventsN_days__monthsN,tim
time__eventsN_other_eventsN,tim-obj
time__eventsN_special_daysN,tim-obj
time__eventsN_time_of_dayN,tim
time__eventsN_time_of_day_clockN,tim
topicsN_communicationN,agt-obj
topicsN_communication_expressionN,cnt-obj
topicsN_communication_expression_greetingN,obj-y:voc
topicsN_communication_languageN,obj-agt
topicsN_health_relatedN,obj-agt
topicsN_money_thingN,ins-obj
topicsN_school_relatedN,obj
topicsN_soundsN,obj
describeA_adverbs_manA,man
describeA_adverbs_man_modA,man-mod
describeA_adverbs_modA,mod
describeA_adverbs_plcA,plc
describeA_adverbs_quaA,qua
describeA_adverbs_qua_qA,mod
describeA_adverbs_timA,tim
describeA_adverbs_tim_tA,mod
placesA_commonA,plc-to
placesA_positionA,to
quantityA_adverbs_man_qua_qA,man-mod
quantityA_commonA,qua
time__eventsA_commonA,tim
