Word,Category,Co-grouped,Dict id,Display cat,POS,ID,Frequency,Priority,Image,Frame,Morph,,,,,,,,,,
भूखा,hungry,sick,301269073,D,J,184310,7,,,YJ,J_achcha,,,,,,,,,,
बिमार,sick,sick,302075321,D,J,187356,21,,,YJ,J_lal,,,,,,,,,,
थका,tired,sick,302431728,D,J,194281,9,,,YJ,J_achcha,,,,,,,,,,
काला,black,white,300392812,D,J,175481,52,,,YJ,J_achcha,,,,,,,,,,
नीला,blue,white,300370869,D,J,173946,49,,,YJ,J_achcha,,,,,,,,,,
हरा,green,white,300375969,D,J,174462,30,,,YJ,J_achcha,,,,,,,,,,
लाल,red,white,300381097,D,J,175253,50,,,YJ,J_lal,,,,,,,,,,
सफेद,white,white,300393105,D,J,175482,61,,,YJ,J_lal,,,,,,,,,,
एक साथ,together,together,400116791,D,A,200459,22,,,YA,A,,,,,,,,,,
बुरा,bad,good,301125429,D,J,177841,51,,,YJ,J_achcha,,,,,,,,,,
अच्छा,good,good,301123148,D,J,176846,190,,,YJ,J_achcha,,,,,,,,,,
गुस्सा,angry,happy,300113818,D,J,172182,17,,,YJ,J_lal,,,,,,,,,,
प्रिय,favorite,happy,301462882,D,J,185650,3,,,YJ,J_lal,,,,,,,,,,
दुख,sad,happy,301361863,D,J,184916,9,,,YJ,J_lal,,,,,,,,,,
खुश,happy,happy,301148283,D,J,181819,37,,,YJ,J_lal,,,,,,,,,,
मूर्खा,silly,happy,302571536,D,J,195913,8,,,YJ,J_achcha,,,,,,,,,,
तेज,fast,fast,400086000,D,A,202816,16,,,YA,A,,,,,,,,,,
धीमा,slow,fast,400161630,D,A,203353,80,,,YA,A,,,,,,,,,,
तैयार,ready,ready,301930512,D,J,190026,58,,,YJ,J_lal,,,,,,,,,,
खाली,empty,full,301086545,D,J,182013,30,,,YJ,J_lal,,,,,,,,,,
भरी हुई,full,full,301083157,D,J,181358,41,,,YJ,J_lal,,,,,,,,,,
चला,away,up,400232936,D,A,201744,86,,,YA,A,.DIR,,,,,,,,,
ऊपर,up,up,400096333,D,A,202905,88,,,YA,A,.DIR,,,,,,,,,
नीचे,down,up,400095320,D,A,202896,100,,,YA,A,.DIR,,,,,,,,,
बड़ा,big,big,301382086,D,J,183783,246,,,YJ,J_achcha,,,,,,,,,,
छोटा,small,big,301391351,D,J,185055,376,,,YJ,J_achcha,,,,,,,,,,
गरम,hot,hot,301247240,D,J,180625,50,,,YJ,J_lal,,,,,,,,,,
ठंडा,cold,hot,301251128,D,J,183714,35,,,YJ,J_achcha,,,,,,,,,,
सुंदर,pretty,pretty,300220082,D,J,166641,20,,,YJ,J_lal,,,,,,,,,,
कुरूप,ugly,pretty,300193480,D,J,173713,9,,,YJ,J_lal,,,,,,,,,,
अलग,different,same,302064745,D,J,191611,88,,,YJ,J_lal,,,,,,,,,,
वही,same,same,302068476,D,J,191634,129,,,YJ,J_lal,,,,,,,,,,
शायद,maybe,please,400300247,D,A,205154,207,,,YA,A,,,,,,,,,,
कृपया,please,please,400009966,D,A,201699,0,,,YA,A,,,,,,,,,,
माफ़,sorry,please,301126841,D,J,177856,3,,,YJ,J_lal,,,,,,,,,,
फिर से,again,always,400040365,D,A,100004,278,,,YA,A,,,,,,,,,,
हमेशा,always,always,400019339,D,A,201103,211,,,YA,A,,,,,,,,,,
अभी,now,always,400049433,D,A,201480,283,,,YA,A,,,,,,,,,,
व्यस्त,busy,busy,300292937,D,J,173343,30,,,YJ,J_lal,,,,,,,,,,
नया,new,new,301640850,D,J,186368,310,,,YJ,J_achcha,,,,,,,,,,
पुराना,old,new,301643620,D,J,186390,108,,,YJ,J_achcha,,,,,,,,,,
बिल्ला,cat,dog,102121620,N,N,19674,18,,,YN,N_ladka,.@male,.@animate,,,,,,,,
कुत्ता,dog,dog,102084071,N,N,19478,42,,,YN,N_ladka,.@male,.@animate,,,,,,,,
हाथ,hand,hand,105564590,N,N,54263,215,,,YN,N_ghar,.@male,,,,,,,,,
सर,head,hand,105538625,N,N,54030,208,,,YN,N_ghar,.@male,,,,,,,,,
पैर,leg,hand,105560787,N,N,51987,75,,,YN,N_ghar,.@male,,,,,,,,
पिता,father,mother,110080869,N,N,92542,72,,,YN,N_pita,.@animate,.@male,,,,,,,,
माता,mother,mother,110332385,N,N,95467,100,,,YN,N_lata,.@animate,.@female,,,,,,,,
मज़ेदार,fun,fun,100429949,N,N,4032,10,,,YN,N_krodh,.UNC,.@male,,,,,,,,
आसचर्य,surprise,fun,107510348,N,N,69580,16,,,YN,N_krodh,.@male,,,,,,,,,
मिठाई,food,candy,107597365,N,N,71617,1,,,YN,N_davai,.@female,,,,,,,
दवाई,food,water,103740161,N,N,36627,5,,,YN,N_davai,.UNC,.@female,,,,,,,,
धूद,food,water,107844042,N,N,74019,20,,,YN,N_krodh,.UNC,.@female,,,,,,,,
खाना (lunch),food,lunch,107575076,N,N,71489,13,,,YN,N_pita,.@male,,,,,,,
पानी,food,water,114845743,N,N,142240,136,,,YN,N_aadmi,.UNC,.@male,,,,,,,,
शरीर,noun,body,105216365,N,N,50828,114,,,YN,N_ghar,.@male,,,,,,,,,
रंग,noun,color,104956594,N,N,48396,48,,,YN,N_ghar,.@female,,,,,,,,,
खाना,noun,food,100021265,N,N,95,30,,,YN,N_pita,.UNC,.@male,,,,,,,,
सनक्या,noun,number,105121418,N,N,46675,,,,YN,N_pita,.@male,,,,,,,,,
जानवर,noun,person,100015388,N,N,62,87,,,YN,N_ghar,.@animate,.@male,,,,,,,,
vyakti,noun,person,100007846,N,N,56,6909,,,YN,N_aadmi,.@animate,.@male,,,,,,,,
जगह,noun,place,108664443,N,N,80872,100,,,YN,N_ghar,.@male,,,,,,,,,
चीज़,noun,thing,104424218,N,N,43180,36,,,YN,N_ghar,.@male,,,,,,,,,
समय,noun,time,100028270,N,N,114,36,,,YN,N_krodh,.UNC,.@male,,,,,,,,
लड़का,person,boy,110285313,N,N,10001,144,,,YN,N_ladka,.@animate,.@male,,,,,,,,
लड़की,person,girl,110129825,N,N,10001,144,,,YN,N_nadi,.@animate,.@female,,,,,,,,
परिवार,person,friend,108078020,N,N,76270,74,,,YN,N_ghar,.@animate,.@male,,,,,,,,
दोस्त,person,friend,110112591,N,N,92734,169,,,YN,N_ghar,.@animate,,,,,,,,,,
अद्यापक,person,friend,110694258,N,N,98873,46,,,YN,N_ghar,.@animate,.@male,,,,,,,,
वह,thing,it,,N,NP,,,,,,,.UNC,,,,,,,,,
घर,place,home,108559508,N,N,78908,61,,,YN,N_ghar,.DIR,.@male,,,,,,,,
पाटशाला,place,home,104146050,N,N,41029,15,,,YN,N_pita,.@male,,,,,,,,,
चंदा,place,sun,109358550,N,N,85945,1,,,YN,N_lata,.@female,,,,,,,,,
सूरज,place,sun,109450454,N,N,86678,1,,,YN,N_ghar,.@male,,,,,,,,,
